上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
0,260495633393,1052507058,摆烂之王烂穿肠,5,保密,作为世界货币，不能把钱拿来打仗，要是专研科技，想办法攀科技树，把科技永远领先，如果美国现在能直接全国移民火星，他超发多少钱都不是问题[doge_金箍][滑稽],2025-04-27 10:22:59,0,1,,贵州,否,https://i0.hdslb.com/bfs/face/b3ab4cfee245a40cf302812e228ae24a35963452.jpg
0,260440322369,23060758,薛定谔妹有猫,6,保密,有没有资料分析大手子帮忙解答一下，贸易逆差除以总额的比例，也就是67％，假如美国没有除以2，直接加67％的关税，会发生什么,2025-04-26 14:52:10,共 2 条回复,0,,广东,否,https://i1.hdslb.com/bfs/face/c9f68c60f15a5665e75fc1cdef1b957df4823e37.jpg
260440322369,260440330145,23060758,薛定谔妹有猫,6,保密,想知道这个算法的实际意义,2025-04-26 14:52:25,0,0,,广东,否,https://i1.hdslb.com/bfs/face/c9f68c60f15a5665e75fc1cdef1b957df4823e37.jpg
260440322369,260445910625,294720084,MagaSaga,3,保密,超过50%就没有意义了。 实物没有哪笔交易有超50%利润。,2025-04-26 16:07:00,0,0,,美国,否,http://i0.hdslb.com/bfs/face/55391d6f5cfac36657fc93f132c077462f760778.jpg
0,261357228176,3546888823376440,雾之意志,2,保密,企鹅🐧拿啥来支付美国的债务,2025-04-26 14:42:08,0,0,,广东,否,https://i1.hdslb.com/bfs/face/14a5e8683b008a8cb70c27988d83bc9d60f0894a.jpg
0,260435514433,496657092,牙膏109,5,男,是不是可以这么理解，一方面美国一直以来狂印低成本但高价值的美元收割世界，另一方面美国又不得不偿还债务来维持美元的信用，但是美国的美元结算体系导又致出口的低端商品相比其他国家毫无竞争力。（若有错误欢迎指正）[思考],2025-04-26 13:59:34,0,0,若君有意，整个世界都将为你倾斜,安徽,是,https://i0.hdslb.com/bfs/face/1ad2a1735cafd466ae3e9c8ca5db56707849661d.jpg
0,260419106513,50963862,水仙美人魚,6,男,选举制度在弱势时候体面的人拿不到票。[微笑],2025-04-26 10:31:23,0,0,不说人话的直接拉黑。,海南,否,https://i0.hdslb.com/bfs/face/58919ff6adac2ed994949b7893c822082e0a61fb.jpg
0,261327638320,2021625788,诚哥大头控制权,5,保密,那以后国外的商品比如耐克鞋之类的会不会很贵？,2025-04-26 08:36:03,0,0,呃,浙江,否,https://i2.hdslb.com/bfs/face/3c5445534eaae391c862d56ace1d6036528aa06f.jpg
0,260399497729,324090785,尼采的龙,6,保密,能不能把我的评论都回复下，我想看看我给你写了什么评论[脱单doge],2025-04-26 05:43:16,共 1 条回复,0,,广东,是,https://i2.hdslb.com/bfs/face/1261b0700f75306d589c83f4b7968c4d2a942cbf.jpg
260399497729,260399430161,324090785,尼采的龙,6,保密,就这个视频的,2025-04-26 05:43:38,0,0,,广东,是,https://i2.hdslb.com/bfs/face/1261b0700f75306d589c83f4b7968c4d2a942cbf.jpg
0,261312034704,3546570177907243,钢铁是怎样炼废的12138,4,保密,刚刚,2025-04-26 04:52:12,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/183bb8f9f0658ee79ae695a175f83f2d9adb2fcc.jpg
0,261309551360,379909901,春江闻箫,4,保密,@HY_jkk,2025-04-26 04:23:09,0,0,,甘肃,否,http://i2.hdslb.com/bfs/face/034f5bbfba89bc773d32c63a37ec22365ad3386d.jpg
0,261308229200,166661238,Missweetea_甜甜茶大师,6,保密,诶，今天还没更新吗，那我先吃饭了[FGO_耶],2025-04-26 04:09:04,0,0,"话贼密，花心且摆烂。
游戏，电子，烹饪，唱歌。",湖南,是,https://i0.hdslb.com/bfs/face/99755c6d8925d8d72e92f8f738344e454c7d20db.jpg
0,260383488529,1550710666,yyyhhhyyymtyb,4,保密,骁哥请问利比里亚什么时候更新呢？,2025-04-26 02:07:30,0,0,,北京,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260357137953,266790660,Rua_r,5,保密,@AI视频小助理,2025-04-25 14:45:21,0,0,,四川,是,http://i0.hdslb.com/bfs/face/c9576b27e1d6ff63b6a0882d91ba03315f2f5d10.jpg
0,260354740033,365225583,CoCl2_Semaphore,6,女,@AI视频总结,2025-04-25 14:17:22,0,0,知识区杂食up主，不定期更新,河南,否,https://i0.hdslb.com/bfs/face/625fcd233ee4550d6c3a765ed0693667734cb2ec.jpg
0,260354484225,365225583,CoCl2_Semaphore,6,女,@AI视频小助理,2025-04-25 14:13:21,0,1,知识区杂食up主，不定期更新,河南,否,https://i0.hdslb.com/bfs/face/625fcd233ee4550d6c3a765ed0693667734cb2ec.jpg
0,260351569793,3537105242295088,无敌房特帅,4,保密,如何？,2025-04-25 13:37:48,0,1,,安徽,是,https://i1.hdslb.com/bfs/face/294943cb001cc9a26d0ffc035aa07d334e0601f2.jpg
0,260341891105,39593966,Vchilll,5,保密,2018年贸易战，激发科技投资、半导体投资、国产替代热潮；2025关税战，我觉得也会激发内需、服务升级、出口外贸热潮。[OK],2025-04-25 11:37:05,0,1,,重庆,是,https://i2.hdslb.com/bfs/face/cb938b356a9a00bf833a60a08b6a3d90b2622050.jpg
0,260333684993,3537104416017075,秋雨如詩,4,保密,美國如果繼續使用高稅收低福利的模式，從人民手中搜刮錢財補貼產業，導致整體消費不足，通貨緊縮，最後一定會自食其果。,2025-04-25 09:56:28,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/e0e3c8d6e1bfae174cd8c4b2838557617725839a.jpg
0,261216170400,632981032,洛贝莉亚_蒂芙尼,5,保密,听说英国看病不要钱，真的吗？,2025-04-25 01:50:23,共 5 条回复,0,在这里，你需要回忆过去，思考永恒,江苏,否,https://i1.hdslb.com/bfs/face/19be6bd565b7665e4bc93f696397d31cf19ec9b0.jpg
261216170400,260347434593,13376188,兵刃研究室,6,男,印度看病也不要钱。说白了要钱不要钱不是最主要的，医疗资源是否充足到可以普惠到每个平民才是最重要的,2025-04-25 12:47:52,0,0,"一群冷兵器实战爱好者。致力于向大众科普冷兵器实战知识。
商务合作微信：zld19970305
",河北,是,https://i1.hdslb.com/bfs/face/4a8716c7047c6f33bb917e680a2b06927ec50972.jpg
261216170400,260361061937,14414490,水平不够一举例子来凑,5,女,【英国爸爸在中国看病，效率爆表，吓到腿都差点好了！】 https://www.bilibili.com/video/BV1y21vYtEAa/?share_source=copy_web&amp;vd_source=e6438866a084b458f341b0ea82d176bd,2025-04-25 15:35:52,0,0,我不在乎你们过得怎么样，只关心事实怎么样。,广东,否,https://i0.hdslb.com/bfs/face/82a81613165155e0d4808efc0e49e3e8be922425.jpg
261216170400,261318776384,405964644,远在天边的三连,5,保密,生病了排队一个月免费医疗，或者掏钱付费治疗，你选哪个,2025-04-26 06:21:59,0,0,录像过多，清理存货,上海,否,https://i0.hdslb.com/bfs/face/d230ff65082c20b1aab69443f3f94be077caae75.jpg
261216170400,261336072576,813588,MU枫,6,保密,医保不可能三角，最多只能选两个，免费、快捷、质量。你可以想想里面的道理。,2025-04-26 10:28:22,0,2,赳赳老秦，共赴国难,江西,是,https://i0.hdslb.com/bfs/face/1047e1acaa6f4b2ecc3cb495169fa37779cb463d.jpg
261216170400,260526970689,43514996,美谷朱里,6,女,都是有套路的啦旁友,2025-04-27 17:36:15,0,0,布尔什维克,湖南,是,https://i2.hdslb.com/bfs/face/e331a79db6156b592fcc6b8b1c1865b6499f8744.jpg
0,261185443696,505051420,聋民伯伯,5,保密,@AI视频小助理 详细概括,2025-04-24 13:27:45,0,0,腰痛腰伤青年,陕西,是,https://i1.hdslb.com/bfs/face/9bb49d5ced41def4872cd451282cacd77ee0689f.jpg
0,261172523696,3546890431892022,bili_3546890431892022,2,保密,MAGA原来是特朗普Make America Great Again（让美国再次伟大），现网民称为Make America Grotesque Again（让美国再次怪诞）或让美国再次丑陋的缩写。Grotesque是怪诞的、丑陋的意思。也有的网民把MAGA称为Make America Greedy Again（让美国再次贪得无厌）,2025-04-24 10:44:10,共 1 条回复,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
261172523696,260446228113,294720084,MagaSaga,3,保密,[点赞]兄台正解,2025-04-26 16:10:39,0,0,,美国,否,http://i0.hdslb.com/bfs/face/55391d6f5cfac36657fc93f132c077462f760778.jpg
0,260250481569,1430654694,张兴震,4,保密,"中美贸易战本质是战略角力与经济博弈的交织。自2018年美方以关税、技术封锁等手段施压，争端已超越贸易失衡，直指全球产业链主导权与科技霸权争夺。中方以扩大开放应对冲击，短期承压却倒逼自主创新，新能源等领域逆势突破。当""小院高墙""策略遭遇产业升级浪潮，这场博弈正重塑全球秩序：科技竞争取代传统摩擦，合作与脱钩的拉锯中，新的经济版图悄然浮现。",2025-04-24 07:54:33,0,0,,福建,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,261144190992,140294439,刹不净,5,保密,半个月了还在歇吗？,2025-04-24 03:24:58,0,0,大师兄，那你干嘛不打死她们呢？,江西,否,https://i0.hdslb.com/bfs/face/90991c4bb23742845fc7aebc764607eb314c0296.jpg
0,261113060912,3546889481882309,专业追回囍,2,男,111,2025-04-23 14:19:07,0,0,乐于助人,江西,否,https://i2.hdslb.com/bfs/face/e06e39908b619ee3f6e35747dad43a40657d6752.jpg
0,260200386737,16092658,LNoahH,6,男,这期说的太好了,2025-04-23 13:34:41,0,0,.,黑龙江,否,https://i1.hdslb.com/bfs/face/ed112841f9fc18e730e0cb12a41519c15926bf1e.jpg
0,260190175297,134065,lirwe,6,保密,这内容太棒了,2025-04-23 11:17:52,0,0,,北京,是,http://i1.hdslb.com/bfs/face/db6a05819fafcc54e00647477691bfea8a3e8a6c.jpg
0,260175452145,1071863478,红尘如梦似幻影,3,保密,想多了不可能破产除非全世界不用石油不用银行才可能破产，全世界石油和金融银行60多％以上都是美国控制的破产除非银行全倒闭石油全不用美元脱钩[吃瓜],2025-04-23 07:39:53,0,0,,广东,是,https://i0.hdslb.com/bfs/face/607bfc93f23a4165bc078cc2da325db3056697d7.jpg
0,261053764848,24034345,仲夏夜白日梦-,5,保密,特朗普的目的到底是什么，他在美国做的一系列事情很果决 这能给他带来什么,2025-04-22 22:27:05,共 1 条回复,0,,山东,否,https://i1.hdslb.com/bfs/face/91ae6092413997ba856c90c62490cfc09693e8bb.jpg
261053764848,261064759696,11533420,牛逼了亲,5,保密,带来股价波动啊，他操盘他赚钱这么简单的道理,2025-04-23 02:54:42,0,0,,湖北,否,http://i1.hdslb.com/bfs/face/a9c105ca33d38ea1a52e1990de96b5a2a7671893.jpg
0,261051286720,410243319,夸克有六味,6,保密,@AI视频小助理 详细概括,2025-04-22 19:10:23,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/47a6e8d590c4caa5bd2d53ac64f68ae732075f47.jpg
0,261050468352,3546659772434515,无辜群众_____,2,保密,请大家去看看小红书上的跟国家相关 跟韩偷国相关的帖子 现在的小红书已经成为反华平台了 外国下水军了！ 全部都是造谣辱骂侮辱中国的评论 我们在中国的平台让人给欺负了！！跟推特差不多了！跟几年前完全不一样了 请大家引起重视！大家去小红书支援下！还有让上头看到严重性！！扩！,2025-04-22 18:37:22,共 1 条回复,4,,浙江,否,https://i1.hdslb.com/bfs/face/e2f98c2dc1984efbd47e263236121020d176b971.jpg
261050468352,261064920752,11533420,牛逼了亲,5,保密,闲的,2025-04-23 02:55:26,0,6,,湖北,否,http://i1.hdslb.com/bfs/face/a9c105ca33d38ea1a52e1990de96b5a2a7671893.jpg
0,260136777601,304108181,9825Bionic,6,男,太细了，封面第四个被p掉的是东南小岛[笑哭],2025-04-22 15:54:33,0,0,你好,广东,否,https://i2.hdslb.com/bfs/face/2093ad0a1ee41bc0a7bd4f626e8cdcadbe1772ad.jpg
0,261039962848,313311535,永不秃头的阿怡,4,女,为up主客观、积极的表达点赞,2025-04-22 15:12:23,0,1,再坚持一下下！,上海,否,https://i1.hdslb.com/bfs/face/f2a723df1b17bb1d31a651eb34985f9412c3bae5.jpg
0,260128997361,30079366,尘红中坐忘道人,5,保密,看了视频的来考试了！ 特朗普2025年关税计划，给谁豁免了？ A、中国 B、英国 C、企鹅 D、俄罗斯和朝鲜,2025-04-22 14:12:32,共 2 条回复,0,"我信世界上的美好，
我仰望天空的光明，
我共同做出些努力，
我产生无尽的回忆，
我党住了孤独寂寞。
愿化砖那需要那搬",广东,是,https://i1.hdslb.com/bfs/face/a5a0ad9681e5e51866a58ee71d99980a2fca0ae8.jpg
260128997361,260198898113,381683685,你不会知道的那个我,6,女,老师说了，不会就选C[doge],2025-04-23 13:12:31,0,0,,澳大利亚,是,https://i0.hdslb.com/bfs/face/5d0d335d83c4a317a43f5e65e606525cbc8f4c6a.jpg
260198898113,260211800769,30079366,尘红中坐忘道人,5,保密,回复 @你不会知道的那个我 :老师扣10分,2025-04-23 16:00:20,0,0,"我信世界上的美好，
我仰望天空的光明，
我共同做出些努力，
我产生无尽的回忆，
我党住了孤独寂寞。
愿化砖那需要那搬",广东,是,https://i1.hdslb.com/bfs/face/a5a0ad9681e5e51866a58ee71d99980a2fca0ae8.jpg
