上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
0,260530249377,452343662,AC-fun宇崎花,6,男,企鹅确实买过一些武器[妙啊],2025-04-27 19:58:39,0,0,,山东,否,https://i2.hdslb.com/bfs/face/b190ea13656ca4c29f2fc947b3227e4f1bd9f231.jpg
0,260471739841,238484858,佛无目,6,保密,手术很成功，就是病人死了。[歪嘴],2025-04-27 04:03:28,0,1,,山东,是,http://i2.hdslb.com/bfs/face/e42399647046065a349aa9af71df5de7321f0241.jpg
0,260431294065,369677464,我是正宗的刺客八爷,6,保密,哈哈哈哈[笑哭][doge_金箍][打call][打call],2025-04-26 13:08:39,0,0,"我是刺客信条铁粉！为信仰而跃！Nothing is ture, Everything is permitted！（万物皆虚，万事皆允）！",浙江,否,https://i1.hdslb.com/bfs/face/e2668c49c96a472c3ebcd1863a17508fad46be12.jpg
0,260422421185,3546633123924563,史诗艺术,3,保密,塞伯坦,2025-04-26 11:12:38,0,0,,山西,否,https://i2.hdslb.com/bfs/face/3f4e10cbea8e1db8034665c37df6922332f07db5.jpg
0,261337700928,21071409,蛋黄酱批发商,5,女,@六六六百百百 我真的笑死,2025-04-26 10:47:57,0,1,,湖南,是,https://i0.hdslb.com/bfs/face/8633871ed748ad5ca14e48222ac0cc9e7dad7ebb.jpg
0,261314922544,645714334,阿卡梅兹,3,男,如果说我一只-100元的笔，是不是美国政府要给我145元？[热词系列_啊?],2025-04-26 05:28:16,0,0,,山东,是,https://i1.hdslb.com/bfs/face/3620382393270ab7f59fbb091c950764572df89a.jpg
0,261313781520,410763702,suikakirakira,6,女,@隐迟INOSOKU @Al4stor @钡氮锂BaNL 看完了笑死我了,2025-04-26 05:13:02,共 1 条回复,0,"善良是留给值得的人的
",浙江,是,https://i0.hdslb.com/bfs/face/58051dcafd415252afde4c07b5d31bbd33e23bce.jpg
261313781520,260436176177,6058756,隐迟INOSOKU,6,女,我之前也刷到了哈哈哈哈哈哈哈哈哈哈,2025-04-26 14:05:20,0,0,"慎关 视频很杂ㅠ记录向
次迷双担
yu:iNOSOKU",浙江,是,https://i1.hdslb.com/bfs/face/d15ed093672f86992e0e27c4742642e11b281c47.jpg
0,261307805424,554052316,OK学,4,保密,美国确实不行了，上台了一个有个性的总统，他经济金融不及格，他还不听专家的，喜欢单干，蛮干，结果就是美国衰落，中国上升,2025-04-26 04:03:17,0,0,,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,261305880304,1995231020,落叶仅知秋,5,男,@-寒誓-,2025-04-26 03:37:52,0,0,,河北,是,https://i2.hdslb.com/bfs/face/77e2a1eeb14047529720eb74724cca307770aa62.jpg
0,261305863104,1570522733,凡尘-娱乐玩家,5,保密,@落叶仅知秋,2025-04-26 03:37:17,0,1,,河北,是,https://i2.hdslb.com/bfs/face/80520a10414eafac8bd70560ffcf7c100e4cc958.jpg
0,261298160240,481258608,今添你喝望仔了吗,3,保密,@苏钰皖辞,2025-04-26 01:46:00,0,0,,广东,否,https://i0.hdslb.com/bfs/face/9700e45437866bb8c44873d0181bd7ad1deb10ba.jpg
0,261287689312,438309914,-丁尼格费-,6,保密,主持人很好的宣传了美国的牙膏,2025-04-25 19:36:43,0,0,,宁夏,否,https://i2.hdslb.com/bfs/face/5ed2637e03566fb0f8dd8a4a6efcb2e90565793c.jpg
0,260352245121,3546689843497678,一只1500金币的IS-5,3,保密,这很美国,2025-04-25 13:45:35,0,0,,湖北,否,https://i1.hdslb.com/bfs/face/fa4d49b7cb13a27ed5a51a5a37dfe0256f4db521.jpg
0,261261582208,3493128128432427,minecraft星尘,4,保密,特朗普能当上总统是个奇迹,2025-04-25 12:40:57,0,1,,江西,否,https://i0.hdslb.com/bfs/face/2c2ee74dcb1dfe4f436da1734679c0a7e6f27efe.jpg
0,260343306289,1339433794,璃人离,3,保密,我来做听力训练了[doge_金箍],2025-04-25 11:53:55,0,0,,安徽,是,https://i1.hdslb.com/bfs/face/6162f5a4519c280177be089161e6a310a5ff56a5.jpg
0,261257526496,378773805,黑色绒衣,2,保密,米国的这个综艺叫什么名？？？[疑惑][疑惑][疑惑],2025-04-25 11:48:55,0,1,,黑龙江,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
0,261251017392,674790921,原飞解说,3,男,@原飞zz,2025-04-25 10:34:52,0,0,,河南,否,https://i0.hdslb.com/bfs/face/ba7f135c35881eec6e8ca3c6d8f90620c751ce47.jpg
0,261194692352,674608421,OMG买它呀,3,保密,还是那熟悉是操作[调皮],2025-04-24 15:22:09,0,0,,广东,否,https://i2.hdslb.com/bfs/face/a3ed1369d12770c9b76927e8a55084feb48bc29c.jpg
0,260277017105,1700840389,明明明满满,4,保密,特朗普—税美人,2025-04-24 14:13:37,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/95129a0b88739b8ad6f386473902873ee36193b0.jpg
0,261169453456,36003216,你还是在玩,6,保密,牢美现在太割裂了，而且随着川普上台变得越发疯癫，悲观的看这可能就是我们的未来。,2025-04-24 10:04:29,0,0,一直都没改变的习惯，多数是坏习惯。,上海,是,https://i0.hdslb.com/bfs/face/04201e8266611f8260bf58275ac880b07b4dc865.jpg
0,261167694672,3546683321355017,荣科科,3,保密,万税王,2025-04-24 09:38:57,0,0,,广东,否,https://i2.hdslb.com/bfs/face/ad2699319891d6fe0b90a05d2c9e571bf2093055.jpg
0,261152516320,1201484837,sinnerbb,2,保密,找素人宝宝,2025-04-24 05:17:20,0,0,,贵州,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,261133376640,316539105,BAjAded,6,男,@米氏狗粮晚餐,2025-04-23 23:50:22,0,0,ⓘ该账号因玩原神已被永久封禁,辽宁,否,https://i0.hdslb.com/bfs/face/593bcfeac092bbf6e4d0c9660112e67a9ce91e29.jpg
0,261126407808,1049904925,楓葉の舞,4,保密,笑不活了,2025-04-23 17:39:31,0,1,,河南,否,https://i1.hdslb.com/bfs/face/33e9230ea52ceb2fb3e8329ee6c34b344f7b6e48.jpg
0,260185038449,511294489,b站混混子,4,保密,币给你！给你！给你！,2025-04-23 10:14:16,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/2a928ad7877d7459feae970fb53213c7f6a85f0d.jpg
0,261089709216,3546889609807944,江湖攻敌,2,保密,米国是不是要收地球磨损废,2025-04-23 09:27:51,0,1,,江苏,否,https://i0.hdslb.com/bfs/face/48eec0f1c334222433d4710edc18dabf7d618c10.jpg
0,260161095185,484799368,黄__桃,5,男,这个主持人是谁啊[喜欢],2025-04-23 03:50:05,0,0,随便玩玩战网ID黄桃罐头#51870steam1007263968,天津,是,https://i1.hdslb.com/bfs/face/52d0ac9d67b4a4459415cd0c893cfc669c3ccce5.jpg
0,260159328753,403832756,冒S揭M,5,保密,[笑哭]那个岛是哪个国家的领土吗？,2025-04-23 03:21:53,0,0,,广西,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
