上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
0,260443456417,630065277,青山乐逍遥,5,保密,在我看来，欧洲就是三国时的江东，唯手握其命脉，他才能和你当盟友。比如现在他当美国盟友就是合格的，非常听话。如果不能握其命脉，欧洲就会左右摇摆，把盟友招牌当成获取利益的工具，不但不能共患难，反而却想着伤害你的利益获取它的富贵。当然，欧洲也是可以团结一下的，不过不能抱太多期望。,2025-04-26 15:31:22,0,0,最近的币疯狂减少,重庆,是,https://i0.hdslb.com/bfs/face/e1f5aa2a8a3d059f09dc3cbceafe1015b1abc1dc.jpg
0,261322847872,471815537,晏晏炎炎艳艳,5,保密,不要盲目乐观，看上去不会这么好这么顺利，至少对有能力的人约束少，比如说马云，许家印，这些才是能看见的,2025-04-26 07:24:27,共 1 条回复,0,,重庆,否,https://i2.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
261322847872,261323006144,471815537,晏晏炎炎艳艳,5,保密,[doge],2025-04-26 07:24:43,0,0,,重庆,否,https://i2.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
0,260333675441,3537104416017075,秋雨如詩,4,保密,美國如果繼續使用高稅收低福利的模式，從人民手中搜刮錢財補貼產業，導致整體消費不足，通貨緊縮，最後一定會自食其果。,2025-04-25 09:58:28,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/e0e3c8d6e1bfae174cd8c4b2838557617725839a.jpg
0,261018011712,14985426,白砂糖02,6,保密,美利坚合众国，万税 🙌🙌🙌,2025-04-22 10:44:29,0,1,"有個朋友說，我沒有朋友。

該死，他說的是真的。",浙江,是,https://i0.hdslb.com/bfs/face/d7338d79c3cbb2c4d573865b397ff79c41d5cf37.jpg
0,260998491344,491913544,笙笑墨阙,5,男,风水轮流转,2025-04-22 05:18:26,0,0,再见,上海,否,https://i1.hdslb.com/bfs/face/dde8bfbd771f00b3a05b6ebe3f829c8ea4ebb8cf.jpg
0,260087234049,1662878875,李蜀黍oO,5,保密,虽然加关税对本国好，但是美国是资本主义国家啊，进口涨价本国产品也会跟着涨价，不像我们即使进口涨价本国的也不会涨价。,2025-04-22 03:38:03,0,0,,四川,否,http://i1.hdslb.com/bfs/face/3f0e21371f3bccb6f37d4c1b94dd5709a7f46191.jpg
0,260024061425,3493138477877363,cxnrly,2,保密,川败国，我坚决支持你，建议关税在乘以10倍！,2025-04-21 07:12:08,0,0,,云南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260874349472,456515521,御坂12635号,6,男,企鹅:咕咕嘎嘎,2025-04-20 13:37:41,0,0,,四川,否,https://i1.hdslb.com/bfs/face/b210454b7b6d0cd451080d9fe4f09d9cf8496fed.jpg
0,260853208976,1615866303,-汐龑-,3,保密,三体人是什么,2025-04-20 09:11:10,0,0,,山东,否,https://i0.hdslb.com/bfs/face/fad4840ca203e01e5f8d52c05c1671a47e84625d.jpg
