上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
0,261175575248,477328270,厉害财经,6,保密,特朗普持续疯狂，一会儿说和我们接触，一会儿被外交部打脸，一会儿贝森特又说这个是 2-3 年的长期过程 真不靠谱啊！,2025-04-24 11:22:30,0,0,"看视频也就单纯图一乐
Think different
真学东西还是得上课程

小号@一粒使的一天世界
直播/带货/闲聊/课程/日常",未知,否,https://i1.hdslb.com/bfs/face/76cb32b638c8f561a3918426da414a438a74ae3e.jpg
0,259717708849,371014475,ATYC频道,6,保密,美国失去了谋士，也就是专门‘动脑子’的那波人。 一些人被K街的美元所吸引，。一些人为党争所困侑。一些人因为不是白皮肤，所以失去学业竞争和工作机会的公平，被系统性压制。,2025-04-17 11:41:32,0,0,,广东,是,https://i2.hdslb.com/bfs/face/46987e2b3d207872d3e4d6aeb08f93170a470da6.jpg
0,259701684737,227779951,明教驻峨嵋派办事处,6,男,向美国出口就是为了赚美元，如果贸易顺差为0，那么向美国出口的目的是啥[抠鼻][抠鼻][抠鼻][抠鼻],2025-04-17 07:30:08,0,1,,河南,是,https://i1.hdslb.com/bfs/face/4aaf1759fb179a92c9546200d1e7da7e9963f4cc.jpg
0,259674668385,3546767324875674,西天有个佛,3,保密,赞,2025-04-16 22:27:41,0,0,不互关！只互动,安徽,否,https://i0.hdslb.com/bfs/face/ddb74f8fdd988b7ce15c42a5987babf1af827af7.jpg
0,259674662449,3546767324875674,西天有个佛,3,保密,BV1izoLYDEuN,2025-04-16 22:26:55,0,1,不互关！只互动,安徽,否,https://i0.hdslb.com/bfs/face/ddb74f8fdd988b7ce15c42a5987babf1af827af7.jpg
0,259674176017,38494356,快楽幸福每一天,6,保密,up和特朗普都要小心 实话,2025-04-16 21:44:35,0,0,,澳大利亚,否,https://i0.hdslb.com/bfs/face/23c08ab688d8a5fce0642c8a70a29a2fc493c59f.jpg
0,260556377904,193611700,起风了937,5,保密,特朗普作为一个政治素人，他就是菜 就像是面对一堆食材，这从未下过厨房的人跟一个五星级酒店的厨师，同样的东西做出来的菜味道一样吗？ 即便是认识到了，问题都所在，没有耐心，没有相应的手段，是达不到他想要的目的的,2025-04-16 18:15:55,0,0,,四川,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
0,260547770272,60123043,青天大老爷在调休,6,男,特朗普这种人，哪怕是签了合同，也会单方面耍无赖[藏狐],2025-04-16 15:31:10,0,0,⊙∀⊙！,广西,是,https://i1.hdslb.com/bfs/face/1cf0172c57e0f40ab5cec6a8ef33ca6526dfda53.jpg
0,260545483328,1111748309,Gaomonlides,5,保密,美国特点，自己自立规则从中受益，让别人玩懂了他就退出。次次如此,2025-04-16 15:04:14,0,0,,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260544839424,236172718,祝融峰大人,6,保密,金融战是目的吧，这个贸易战是明的招数，金融是暗战，金融圈大侄子太多,2025-04-16 14:56:26,0,0,,北京,是,https://i1.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
0,259643555889,609680587,一风一雨一情,5,保密,广场协议2.0,2025-04-16 11:26:19,0,0,,广东,否,http://i1.hdslb.com/bfs/face/3c4eefe2f4e02981c04ad22c98c48af6eaa509de.jpg
0,259631366193,326181274,sophie-1,5,保密,美国进口跌幅规模：对比2025年3月24日-31日与4月1日-8日的数据，美国进口标准箱预订量环比下降49%，整体进口量跌幅达64%，创18个月新低 。品类差异：服装、纺织品等消费品降幅超59%，塑料、铜等工业原材料进口量下降60% ，艺术品、珍珠宝石等品类跌幅超50% 。等着呗，现在才哪到哪,2025-04-16 08:43:24,0,3,,天津,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,259630210993,19420584,当下怎么火辣辣的,6,保密,可口可乐涨价了吗？帮我看一下,2025-04-16 08:25:28,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,259624468881,3546721189628082,小破站爱吞评论,3,保密,是日本在砸吗 证据呢,2025-04-16 06:47:43,0,1,,湖南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260506949536,104311900,theworldisnot,5,保密,趁最后一届任期，能捞多少是多少,2025-04-16 06:38:15,0,0,,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260503355408,405955320,小波兰球,4,保密,这个关税是哪种方式加的？是直接加100%还是30%×30%×40%？,2025-04-16 05:40:28,0,0,,山西,否,http://i0.hdslb.com/bfs/face/2a962b0b8780de3c17f21a9e4c9aa58931cdbe70.jpg
0,260498634976,2109450320,老衲不约12138,5,男,关我屁事～我又吃不起进口的……[嫌弃],2025-04-16 04:42:01,0,0,,广东,否,https://i2.hdslb.com/bfs/face/fab61ae8701b8566f1d57bf64cfdec2b137bbe20.jpg
0,260498345488,1350108236,梦你17分,4,保密,相互升不能行么,2025-04-16 04:37:03,0,0,,河北,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,259614808881,3546822435932490,16岁的蛋白质,2,保密,日本农业部对美国700%大米关税咯,2025-04-16 04:26:43,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/27a363b6ae7aa933e80afbd23e3d6acdb59d2217.jpg
0,259613983553,2112292088,素闻君雅达,5,保密,今年政治高考题，会实事推进，送分题，你们考生加油,2025-04-16 04:18:26,0,0,,广东,否,https://i2.hdslb.com/bfs/face/0184b95bd3ef6098b2fa2d7a20ade5d0d9c4bd13.jpg
0,259613454689,3493095291226176,劳弓信仰玩家,4,男,八年前他在干什么？,2025-04-16 04:10:57,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/9cc95e0cfd73ff35da35027d705665f47b6b1bf7.jpg
0,259613263105,2112009553,加入美军,2,保密,支持特朗普。加关税10000%万[支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持],2025-04-16 04:09:57,0,0,,内蒙古,否,https://i1.hdslb.com/bfs/face/78b57aafd72c73de9fe4da1c55e05b88bbed8c8a.jpg
0,259613253729,640348692,六啵,5,保密,希望他继续加,2025-04-16 04:09:38,0,0,,黑龙江,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
0,259611366113,2086016897,胡八刹,5,保密,以后看夸克不看你了,2025-04-16 03:43:50,0,0,,河南,否,https://i2.hdslb.com/bfs/face/2df78b3d20cb9b8d5c464c9c03b43b63b0e18f24.jpg
0,259608233953,3546860924963492,跨境老庄学长,2,保密,川普都在亚马逊开店卖上货了[吃瓜],2025-04-16 02:58:06,0,0,"易通科技物流-老庄学长
覆盖美国 | 加拿大 | 欧洲 | 英国
海运 | 空派 | 海外仓 | 一件代发
专业服务，助力跨境之旅",广东,否,https://i2.hdslb.com/bfs/face/1df123fd98048642c2f8f33a7ee209e3ee1bf037.jpg
0,260488926480,1323123803,zzzzzzzhhhho,4,保密,"tm,他等美厂回流了，再降回来，哎，nb，买股又来涨一波，一个开赌场都能倒闭的人，是美国总统，nb上天了",2025-04-16 02:32:31,0,0,,河北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
0,260487870352,244167905,ZIOONE-101,5,男,特朗普相对税,2025-04-16 02:13:42,0,0,别担心，我们是正义的一方,澳大利亚,否,https://i2.hdslb.com/bfs/face/a4d2a9d109b8c063f442541782a16657408200af.jpg
0,260487348176,1054550946,瓜皮狗狗,5,男,无所谓反正又影响不到我就算再加10000%的关税也影响不到我,2025-04-16 02:05:07,0,0,https://rule34.xxx/index.php?page=post&s=list&tags=kiriko_(overwatch)&,山东,否,https://i0.hdslb.com/bfs/face/e66c0053eb5f3a000aa733c745a725f19e0dd832.jpg
0,259603937009,1797948890,五组副组长,3,保密,美国没法做生意，就必须发展工业，自己生产，懂王不会是这个思路吧？,2025-04-16 01:38:02,0,0,,山东,否,https://i2.hdslb.com/bfs/face/9d4b74712c19c2868202aef1683eab0414281162.jpg
