序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257438933232,一级评论,510600609,们原有自己的达虾,5,保密,禁止堕胎逆天,2025-03-10 11:47:05,0,0,离离我爱你,上海,否,https://i0.hdslb.com/bfs/face/c58fbda5a4c9afde8f33ae84c9a592995a4bbf49.jpg
2,0,254689123104,一级评论,32491726,超级无聊的人,6,保密,真想坐着舒服不如把车座椅搬过来,2025-02-07 12:17:50,0,0,一些事你可以不听，但无法否认，当你再次遇到我说的情况，你会想起我说的话，哈哈哈,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,253690746128,一级评论,3546843342440731,视频有意义,2,保密,特拉普上台，一系列清除白左奇葩政策的措施必然大规模推行，美国国势将势不可挡啊,2025-01-28 02:51:07,0,1,,山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,250578185520,一级评论,670298523,寂语潇澜,4,保密,最后采访的男子是特朗普年轻时候的样子吗？有点惊艳诶，,2024-12-24 16:37:05,0,0,啊，蠢蠢的,广东,否,https://i0.hdslb.com/bfs/face/6b2399f43659aa3fd0ede3626759403312de6f5a.jpg
5,0,250362403088,一级评论,2915413,诡计多端的女通讯录,6,男,你站在外国人角度看，懂王反而是美国总统里最正常的一个，政策也是最正经的那个[露早GOGO_歪嘴],2024-12-22 05:52:32,0,0,只看感兴趣的番,四川,是,https://i1.hdslb.com/bfs/face/fa4d43002b26f82662870f0dbb304bbe77ed8885.jpg
6,0,250361407616,一级评论,14117528,鸡肉味嘎嘣脆的锅巴,6,保密,隔岸观火笑得欢，谁知哪天没衣穿,2024-12-22 05:40:30,1,1,。,辽宁,是,https://i2.hdslb.com/bfs/face/c73d7020434ebf3e03f71791eecc106a91152d38.jpg
7,250361407616,250363123008,二级评论,163676919,账号已注销,0,保密,你也就扎扎小人了，聊勾一个[吃瓜],2024-12-22 06:02:45,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,250361167200,一级评论,6861828,明朝花开,6,保密,四年，还是太短了,2024-12-22 05:37:18,0,0,,上海,否,https://i0.hdslb.com/bfs/face/37041064a9247e0316b7a249c1af76961e6d766c.jpg
9,0,250360561168,一级评论,394207116,bili_394207116,6,保密,美国需要一个罗斯福，就看美国人能不能出一个了。,2024-12-22 05:28:26,0,1,,陕西,否,https://i0.hdslb.com/bfs/face/79ff87baf7037bbfe328baafb0d6cc162c32f3a2.jpg
10,0,249879917521,一级评论,414385362,理想人的故事,5,保密,前几天他说美国和中国联手会解决世界上大部分问题，我就知道他要干什么了,2024-12-22 04:57:04,4,0,希望你不是我想的那样，才来的,山东,否,https://i0.hdslb.com/bfs/face/c4b7af563f802a3a30eb64b4113375219a11af72.jpg
11,249879917521,249880034737,二级评论,414385362,理想人的故事,5,保密,1,2024-12-22 04:57:42,0,0,希望你不是我想的那样，才来的,山东,否,https://i0.hdslb.com/bfs/face/c4b7af563f802a3a30eb64b4113375219a11af72.jpg
12,249879917521,250358400064,二级评论,34155606,巫妖王前的小绵阳,6,保密,2?,2024-12-22 05:03:07,0,0,学会欣赏自己，但别理解自己，去追求更好的自己。,河南,是,https://i0.hdslb.com/bfs/face/10792db1a05dd4c946a3e9a025f8dc8e18d6de4c.jpg
13,249879917521,250358984336,二级评论,416923849,气质是很重要的,5,保密,难哦,2024-12-22 05:10:19,0,0,气质是很重要的,海南,否,http://i1.hdslb.com/bfs/face/130675179fb2313789133a5c56a1ddc0429455c3.jpg
14,249879917521,249881062001,二级评论,1420366496,楚儿不冷,4,保密,g2?完全不现实，⏰同不同意不说，美国会放弃他们的传统盟友吗？,2024-12-22 05:10:47,0,0,把我发的视频看完再评论，OK？,广东,否,https://i2.hdslb.com/bfs/face/405e3a511062794ce3cfd26eee524a0cf02ba0c8.jpg
15,0,250357451776,一级评论,458194707,胡凯莉的干爹,6,保密,我们可以拿下夏威夷了,2024-12-22 04:52:50,0,0,,浙江,否,http://i0.hdslb.com/bfs/face/305598343dec20fd5827dd3018b21465cbf72e57.jpg
16,0,249876193377,一级评论,261125378,魅月长歌,6,保密,大概率成为疯王,2024-12-22 04:12:01,0,0,,宁夏,是,https://i2.hdslb.com/bfs/face/5a5bb49493418963d96c34fd6e9022020e7ee56c.jpg
17,0,250348251648,一级评论,244865649,星火不吃鱼,6,保密,7:55[脱单doge],2024-12-22 03:01:11,0,1,知行合一,浙江,是,https://i0.hdslb.com/bfs/face/002047442f8ee4c0de602809cbd2168c6b3321f3.jpg
18,0,250347433584,一级评论,244865649,星火不吃鱼,6,保密,7:56[脱单doge],2024-12-22 02:52:05,0,0,知行合一,浙江,是,https://i0.hdslb.com/bfs/face/002047442f8ee4c0de602809cbd2168c6b3321f3.jpg
19,0,250345897728,一级评论,279355333,jayhaiz,5,保密,看来美国需要一次洗牌,2024-12-22 02:27:52,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/dee3008c60d258560797cbf839ec2676abf3de31.jpg
20,0,249868607553,一级评论,171975498,xshimzu,5,保密,直接赢还是直接麻你们选一个吧[给心心],2024-12-22 02:26:52,0,0,我不会玩上路捏,广东,否,https://i0.hdslb.com/bfs/face/78d5265e83f07434495b60964e1055188554d42d.jpg
21,0,250344798448,一级评论,170172841,aironbili,6,保密,公务员比例那里不是这么算的，美国的公务员，干的是中国的公务员加编制内人员的活，而中国只算公务员不算编制内,2024-12-22 02:11:49,3,3,aironline,上海,是,http://i1.hdslb.com/bfs/face/0c7fec970de4dad9311473a3fef1a94ab0b22041.jpg
22,250344798448,250345415600,二级评论,3493271642835159,没破防你拉黑干啥,5,保密,要是算上事业编和公益岗和雇员，那数量要翻三倍,2024-12-22 02:20:36,0,0,当你打开我的主页时，你知道自己已经输了，你无法反驳我的观点，所以你焦急的打开我的主页，企图寻找蛛丝马迹从辩论转变为人身攻击。你输了，胜负已分,天津,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,250344798448,249881596737,二级评论,95165655,马克吐槽_,5,保密,至少中国人不用自己花钱雇消防员。,2024-12-22 05:18:20,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/ffcc7a2215b63d098ea4a73c4e44620995cbe8e2.jpg
24,249881596737,250490678736,二级评论,170172841,aironbili,6,保密,回复 @马克吐槽_ :那你以为供养消防员和消防设备的资金是哪来的？还不是纳税人交的税养的？,2024-12-23 15:26:16,0,0,aironline,上海,是,http://i1.hdslb.com/bfs/face/0c7fec970de4dad9311473a3fef1a94ab0b22041.jpg
25,0,249866606273,一级评论,271976586,bili_271976586,6,保密,他才4年任期，怎么可能干的完[藏狐],2024-12-22 01:54:17,2,0,Forgive me not,湖南,否,https://i0.hdslb.com/bfs/face/fe53de1fa338c0841a22436946022affdc85d4d9.jpg
26,249866606273,250349706768,二级评论,142739818,者亦啧,5,保密,"懂王活不了几年了，那马斯克呢？
那个部门成立，他的火箭，电车还在。
他今天做的事，明天也能做",2024-12-22 03:21:26,0,0,,浙江,否,http://i1.hdslb.com/bfs/face/af16a5c0260a6d559d3322760779ed0691d89f86.jpg
27,250349706768,250359292784,二级评论,383355312,可乐ハーハ,6,保密,回复 @者亦啧 :效率部一个该效率的就是他们自己,2024-12-22 05:14:09,0,0,爱无限,重庆,否,https://i0.hdslb.com/bfs/face/d2a9188588e8d7772e89a3152f00b35fb3061b71.jpg
28,0,249866584193,一级评论,71983869,一群设计师的日常,6,保密,美国人均供养公务员数量世界第一[吃瓜]爹最多的国家,2024-12-22 01:53:19,0,0,,海南,否,https://i0.hdslb.com/bfs/face/ca228d74537994249ce96cc37f68c2d9cf1f0f9a.jpg
29,0,249866507985,一级评论,9332887,有香味的鱼,6,保密,[doge]裁员短期是可以的，大部分吃干饭的，但是懂王任期就4年，想想也知道，任期过了又会召更多的进来，懒是没办法变的,2024-12-22 01:50:00,0,0,,广西,是,https://i1.hdslb.com/bfs/face/811628d20e597f265a86877f17fe6c951f231271.jpg
30,0,249866288529,一级评论,1083872469,米唐口未,5,男,支持个屁，任何对美国有利的政策都对中国不利,2024-12-22 01:47:21,0,1,你美爹不给你发狗粮，你自个当狗挺快活的,四川,否,https://i0.hdslb.com/bfs/face/bdda531a646c67a3174d6391c23d2e96af09c759.jpg
31,0,249866144321,一级评论,27973282,ashidakannn,6,保密,没有什么深度改革仅坚持四年就成功，政策需要持续性,2024-12-22 01:46:54,0,0,,福建,是,https://i1.hdslb.com/bfs/face/4c1ca832bfc807cba797817ed698fd16a2122df1.jpg
32,0,249865994993,一级评论,220275583,anti_pinky,5,保密,老美公务员工资又不高，而且生产力极其过剩，这么裁撤只会引起大乱。,2024-12-22 01:43:33,0,0,天街踏尽公卿骨！,上海,否,https://i1.hdslb.com/bfs/face/57b520c380dff548cfb4619cf71683009d34cdd6.jpg
33,0,249865093137,一级评论,221783257,难得自甲,5,保密,青蛙镇楼,2024-12-22 01:25:02,0,0,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
