序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259318039600,一级评论,25584686,乔的探索者,6,保密,黄金真被说对了，猛猛涨[笑哭],2025-04-02 03:13:30,0,2,上帝，真理，死亡，精神,广西,是,https://i2.hdslb.com/bfs/face/b862a6cd039c83f8d32f642bb99065177dd8645b.jpg
2,0,256107179953,一级评论,544029291,Y日尧九日Y,5,保密,已经推进停战了，判断准确。,2025-03-03 09:50:38,0,1,,辽宁,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,254619266272,一级评论,701422045,狂魔哥单挑德华吕布,4,保密,回来打你脸，重重打，就支援乌克兰，但拿稀土换，巴以战争以色列胜利,2025-02-06 17:35:05,2,1,,福建,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,254619266272,256885467776,二级评论,32479908,我可没笑,6,女,[辣眼睛],2025-03-03 14:59:55,0,0,没有经过思考的生活不值得过,北京,否,http://i0.hdslb.com/bfs/baselabs/21a8ef43a17f791ab18fa4912c4de875f4581cae.jpg
5,254619266272,260206101568,二级评论,333506145,黄璜煌,5,男,还打脸吗，你的脸被抽肿了没,2025-04-12 11:53:37,0,0,爬,浙江,否,http://i0.hdslb.com/bfs/face/5f9dbea5858b8c5bdc09094973c124aa1bcec869.jpg
6,0,248208406465,一级评论,1014562493,我在远方很想你-,2,保密,好,2024-12-01 16:24:35,0,0,,吉林,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,248185262640,一级评论,378144246,狂杀舞边城,5,保密,既然地方有化债方案了，那就继续举债发消费券，带动国内消费和物价上涨。这样国内的制造业工资也能涨一点，只不过赶不上物价和房价涨幅罢了。,2024-11-27 04:35:52,0,0,,浙江,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,247866837696,一级评论,349757805,统帅救救我们,5,女,涨工资不是可能的。幻觉太严重了,2024-11-23 09:28:34,3,0,能回复我都是同一类人不然算法也不会推荐你这个视频。,辽宁,是,https://i0.hdslb.com/bfs/face/b3e82cda183a04912651fdaebd95914fa5bd72c4.jpg
9,247866837696,256924177264,二级评论,457263003,魔神本魔神,6,女,涨了，教师工资涨了,2025-03-04 05:48:29,0,0,欢迎大家关注，更多低质量视频，持续播放。嚤鉮,河南,否,https://i0.hdslb.com/bfs/face/aa576a12c3d207f438b222ae640582733f5578d5.jpg
10,256924177264,257392235088,二级评论,41152624,绿罗更是罗,6,保密,回复 @魔神本魔神 :我是教师   我们课时费甚至降了[辣眼睛],2025-03-09 21:21:08,0,0,抽奖但没原神,青海,是,https://i1.hdslb.com/bfs/face/a040dcabb572e4a83f4443322fd956bb6df4b1f7.jpg
11,257392235088,257424926000,二级评论,457263003,魔神本魔神,6,女,回复 @绿罗更是罗 :[doge_金箍]小可怜,2025-03-10 08:38:20,0,0,欢迎大家关注，更多低质量视频，持续播放。嚤鉮,河南,否,https://i0.hdslb.com/bfs/face/aa576a12c3d207f438b222ae640582733f5578d5.jpg
12,0,247219233313,一级评论,1786894169,无敌我是一个人,5,保密,@AI视频小助理 ：总结一下,2024-11-19 15:24:23,0,0,汉兴一日仙游去，复唐何处觅邺侯,山西,是,https://i2.hdslb.com/bfs/face/b4a0f4b1a63b2535b800bf94fb705830f35d95a0.jpg
13,0,247365854352,一级评论,37626804,vicklife,6,男,就最后一一条存疑。房地产配合基建拉动经济的时代过去，拿什么项目去刺激消费。目前有起色的也就是新能源汽车行业，其它都不咋地。半导体更是个未知数，中国缺的是高端半导体产业。,2024-11-17 10:26:02,0,0,心有猛虎，细嗅蔷薇,重庆,否,https://i0.hdslb.com/bfs/face/530b66a042e9ea59501be9ebd210093f590a4f20.jpg
14,0,247257362064,一级评论,410240738,苹果消失了,5,保密,卢克的地缘政治还是要多跟七老学一学啊略显稚嫩,2024-11-16 06:51:44,0,0,,辽宁,否,https://i2.hdslb.com/bfs/face/2d62d42510b9bcbb177b4dd70c1a97d554ab0f5d.jpg
15,0,247218100000,一级评论,66085130,霍乱之火,6,男,内蒙古12月1日起，上调最低工资标准啦，约13%,2024-11-15 16:57:00,0,0,,内蒙古,是,http://i2.hdslb.com/bfs/face/5f78aa28711ae771a90fcd0c4fe1d8dd38103684.jpg
16,0,247210717776,一级评论,3493124162717820,九个宫格,4,保密,只会退休工人和公务员加，民企员工不减就不错了,2024-11-15 15:21:56,0,0,,上海,否,https://i0.hdslb.com/bfs/face/d79da5b853e2df8574ff7536144df51eeadff7ab.jpg
17,0,247190478176,一级评论,178972442,翌曦_,6,男,搞外贸，新能源，电动车，要把哦老家干废啊,2024-11-15 11:23:43,0,0,,上海,是,https://i2.hdslb.com/bfs/face/d5d4af7ffb18131f6e4b007156aa180e894974a6.jpg
18,0,247161344128,一级评论,437555030,钢铁血之魂,5,保密,别，涨工资不一定是好事，工资一涨物价马上跟着飞涨，涨来涨去涨了个寂寞，一旦你失业就更难熬了。,2024-11-15 04:50:10,0,0,,蒙古,否,https://i2.hdslb.com/bfs/face/520ff28a221076e0e58d3189f4bb1c8f57d76472.jpg
19,0,246800185521,一级评论,1813133976,RWPKJ,5,男,"up up,可以做60帧的视频嘛[星星眼]",2024-11-14 14:21:01,0,0,,陕西,是,https://i0.hdslb.com/bfs/face/8909fa6753e29eb4437723d2f41481d8ccf5c977.jpg
20,0,246777285665,一级评论,6088969,tim1997,6,男,黄金跌了兄弟,2024-11-14 09:34:15,0,0,我们的生活并不相通，但我依旧祝你万事如意。,山东,是,https://i1.hdslb.com/bfs/face/b1d2db41db60794052b3f77651757a789e1fab71.jpg
