序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260029886705,一级评论,15230188,豚子子,6,保密,登子下课之后老年痴呆都不见了[笑哭]妈的真的很离谱,2025-04-21 08:52:50,0,0,改个头像名字审核半年,重庆,否,https://i1.hdslb.com/bfs/face/f769b208a6dcf1e766ce9dadec17d81e0f43aca4.jpg
2,0,260173194368,一级评论,503091247,墨染明月半江秋,6,保密,[doge]这些年的几次竞选，让大家发现政治大佬都是高手，真正的高手，演技实力全是超一流,2025-04-12 04:47:48,0,1,"弱小和无知，从不是生存的障碍，傲慢才是
",江西,否,https://i1.hdslb.com/bfs/face/8ff00b407c35cd50fb51e99a3a5b730d7ef46d11.jpg
3,0,258972163825,一级评论,476479573,竹生哥欠,5,保密,我现在准备跑路，实不相瞒，新人要顶我的岗位，哈哈哈。会有人说谁走都行，只有班长让我留下，我去意已决，工资发了跑路。曾经有人说这活你试试，你拿不下，我不但拿下了，还很轻松，就是轻松过头还得弥补他们的不足，好吧好吧！能力强是好事，但我又不傻，想让我多做事，还敢给我脸色看，还有三天，现在我嘴角比ak都难压。,2025-04-07 23:03:27,0,2,赠心中唯一的你，此生不曾离去！,浙江,否,http://i1.hdslb.com/bfs/face/a63803d663e2a331fe6db658d37f0d9abf25a605.jpg
4,0,258963244401,一级评论,3546720952650686,jsjiagwhiahg,3,保密,现在我逐渐明白了一切,2025-04-07 16:35:39,0,2,癌，我就是烷,内蒙古,否,https://i2.hdslb.com/bfs/face/42a4b24bf99f3aeda2720dcbe280f507cb90dc35.jpg
5,0,258168474017,一级评论,22751287,花楠雅,6,女,大美王朝2024,2025-03-29 08:06:24,0,0,"人见人爱，花见花爆胎！
清关，被误清请直接私信告知

只查看艾特和私信！
商务+3120944330",浙江,否,https://i1.hdslb.com/bfs/face/d7c0ad3c64030c10f73f5a9ab8dfed1d348bb086.jpg
6,0,257102233456,一级评论,490633837,独享壹个世界_,5,保密,[呲牙][呲牙][呲牙],2025-03-06 10:55:11,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/c9d04365c30395152b43dd17e070193e5da53bd3.jpg
7,0,255354158417,一级评论,98595461,云天志ovo,6,男,登：我来助你！我的宾州会助你一臂之力[doge_金箍],2025-02-22 07:15:53,0,1,生活散漫，精神自由！微博：云天志ovo ,浙江,否,http://i2.hdslb.com/bfs/face/fbef0547aea8f9452446807ac43c6cceed97d0c2.jpg
8,0,256070985296,一级评论,700607744,派与巧克力和馅饼,5,保密,原本以为拜登自己想退位的，毕竟亲人基本都走了，这么大年纪对手那么强还想继续当总统，确实很有魄力了，我这种小人物远远达不到这种境界啊,2025-02-22 06:24:18,0,1,,江苏,是,https://i2.hdslb.com/bfs/face/cae33f3d60709730a51b433147eb7640cf0a8586.jpg
9,0,254307560273,一级评论,692624690,小圣51628,5,女,@小纪-小青 八大佬就六个嘛,2025-02-10 12:46:22,1,1,,安徽,否,https://i2.hdslb.com/bfs/face/3a25a077dafb530413840b16f846c40a7628ff00.jpg
10,254307560273,254314747665,二级评论,175063352,小纪-小青,5,保密,因为一个是 up 主，另外一个是师傅！,2025-02-10 14:02:45,0,0,,广东,是,http://i2.hdslb.com/bfs/face/6b0f24632ae9cd1866bfb4ae4d95656d5619069c.jpg
