序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,249231516817,一级评论,3546619947518771,英文童话故事机,3,保密,嘿，你说这事儿啊，当年那啥懂王，嘿，疫情那事儿处理得那叫一个不行，名声那叫一个臭。哎哟，结果嘿，你看民主党上台，嘿，这事儿还更烂了。哎呀，这世事真是变化快啊！,2024-12-14 09:37:35,0,0,,广西,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
2,0,249143392112,一级评论,357486004,相信后人的智慧1,6,男,11年白宫来了个金发老头，他的走位像是在天上飞,2024-12-08 06:12:47,0,0,拉黑就是急,山西,否,https://i1.hdslb.com/bfs/face/5c7a329e607f0b9f9d35a254970d4c22c7e155d0.jpg
3,0,247724223665,一级评论,3546760829995378,轻舞飞扬与痞子蔡,3,保密,"OH OH OH OH
眼前太空泛
OH OH OH OH
世途有太多的变幻
人世间每天纷争
只充满斗争喧哗
不必要为着实现彼此偏见
赶不上发表指责
赶不上说他不对
没有一刻休息空间
还记得某天家中
思想已变的一空
将所有断续混乱不安淡忘
不想要每天争斗
真假我已经睇透
没有一点一点担忧
世界正越变越糊涂
太多欲望的迫压
我已厌倦了在从前常被受骗
可否冲破眼前这装扮
可否冲破以前那颤抖的岁月
道别旧日落寞现在坚守我自信",2024-11-25 22:10:34,0,1,"来说是非者，便是是非人。
我奉劝B站小鬼，多喝牛奶，少造口业。",河北,否,https://i1.hdslb.com/bfs/face/e9be5c24d553ad58973a00a64d4b37168837c35e.jpg
4,0,247716103297,一级评论,43924952,逝水久久,6,保密,马斯克把中国生儿育女的成语玩坏了,2024-11-25 16:32:30,0,0,,广西,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,248021388704,一级评论,317627718,心灰意冷0009,3,保密,美国领导人那是一代不如一代，懂王第一次上台，说希拉里领导的太烂，拜登上台后，说懂王领导的太烂，懂王又上台了说拜登领导的太烂……有人说这是西方民主的纠错机制，问题是不管怎么填空abcd都是错误答案……,2024-11-25 04:42:26,0,0,,上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,248013887024,一级评论,44851921,真夜夕炎,6,男,不死乔[doge],2024-11-25 03:05:16,0,0,你来自我安慰了吗？要不要你先来段主机报菜名～(￣▽￣～)~,山东,否,https://i1.hdslb.com/bfs/face/42fac1bb81f5d9cff880e615c71cd8600f2a5750.jpg
7,0,248006002800,一级评论,276522138,懆你西小西,5,保密,"川普当选后：
万斯 你戴罪立功，封为副大统领。
约翰逊 你替天行道，众议院拿去。
马斯克 你重症旗鼓，共和党主席收好。
图尔加  你忍辱重负，五角大楼领下。
小肯尼迪  你大义灭亲，最是不易，参议院留给你了。[doge_金箍]",2024-11-25 00:35:07,0,0,,广东,否,https://i0.hdslb.com/bfs/face/0e271ff3389db98688def7fed16ff5df9818161c.jpg
8,0,248004405360,一级评论,15413000,小道士三瘋,6,保密,性别认知障碍者和LGBT有区别，因为他们也是非男即女的,2024-11-24 23:52:55,0,0,我命由我也由天,山东,是,https://i2.hdslb.com/bfs/face/455b753dc51e79b6c617ce7d2000ee133e3c011e.jpg
9,0,247924843952,一级评论,200103146,无敌的鬼鬼酱,5,保密,麻薯是女的？,2024-11-24 02:18:32,0,1,,广西,是,https://i2.hdslb.com/bfs/face/1f9945c3e460bfbbd1a69b83b129de728b882a77.jpg
10,0,247353807665,一级评论,3546752764348871,O呆猫O,3,男,这几期可以申遗了[打call][打call][打call],2024-11-21 10:14:22,0,0,不发动态也能收获粉丝的吗？？？,湖北,否,https://i2.hdslb.com/bfs/face/96693f953438aee48f9381aa42517aa0ac9e0179.jpg
11,0,247353639377,一级评论,3546752764348871,O呆猫O,3,男,总座高见[大笑][大笑][大笑][大笑][大笑]@麻薯波比呀,2024-11-21 10:11:40,0,0,不发动态也能收获粉丝的吗？？？,湖北,否,https://i2.hdslb.com/bfs/face/96693f953438aee48f9381aa42517aa0ac9e0179.jpg
12,0,247353032817,一级评论,3546752764348871,O呆猫O,3,男,我觉得卡特也会很开心，也许几个月后安心上天堂[大笑][大笑][大笑][蹲蹲],2024-11-21 10:05:57,0,1,不发动态也能收获粉丝的吗？？？,湖北,否,https://i2.hdslb.com/bfs/face/96693f953438aee48f9381aa42517aa0ac9e0179.jpg
13,0,247322781585,一级评论,433171184,_韭--菜_,5,保密,美利坚败犬有点多啊[doge_金箍],2024-11-21 02:16:43,0,0,,四川,否,https://i2.hdslb.com/bfs/face/8c8d87f5bb2b6758fe41469a65b8482315354154.jpg
14,0,247265025009,一级评论,313211555,rodman0215,6,保密,请问：“动保 环保 ngo 塑料袋 投票机” --- 塑料袋 投票机 是什么梗？？有点跟不上了[疑惑][疑惑],2024-11-20 07:55:55,0,1,,广东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,247579202560,一级评论,398501042,赵嘲伪,4,保密,博主真是焦里焦气的,2024-11-20 01:52:21,0,0,,江苏,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,247454730320,一级评论,3546663631194230,普通的好兄弟,4,男,@脏话老表,2024-11-18 11:38:41,0,0,成分复杂的60块好兄弟awa,江西,否,https://i2.hdslb.com/bfs/face/4fc91c5ef20926b620f348ce4883101a41c7a337.jpg
17,0,247442584000,一级评论,1906546304,银河系的临时工,5,保密,"请君暂上凌烟阁
若个主持万户侯",2024-11-18 09:13:02,0,0,,宁夏,是,https://i2.hdslb.com/bfs/face/7c82d5860bbb2e3399ea178a57f5f1879ae5beb5.jpg
18,0,247057327073,一级评论,32504658,HFELENZ,6,男,"怎么都以为没有懂王就不打贸易战了，这几年中国企业受制裁少了吗？
川普打压中国会说“打压中国是为了让美国重新崛起，让美国劳动者多赚钱”，拜登打压中国会说“打压中国是因为中国不民主不自由”，同样是打压中国，那种美国总统好？
稍微有点思考也能看出来是川普，川普至少愿意跟你比公司的能力产品的水平，这叫贸易战；拜登那边全都是说“我打你是为你好，你不能反抗”，然后国内一堆没膝盖的还都信以为真",2024-11-17 14:42:04,0,1,我愿意为学习而活着，而不愿为活着而学习,浙江,否,http://i0.hdslb.com/bfs/face/5f6b26483ed5dc56f1775e37505c3c1690f800d3.jpg
19,0,247366069808,一级评论,231888243,Cyber_jy,5,男,男儿何不带吴钩，收取七个摇摆州,2024-11-17 10:29:55,0,0,,澳大利亚,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,247026969825,一级评论,478897165,嘎嘎小恐龙君,5,保密,也不能说老登是懂王的拥趸，但确实懂王赢了之后老登头唯一需要做的就是安心等下岗，小儿子懂王明确说不追责，民主党经过这一场算是元气大伤，也没人有闲心清算一个小拜登，压力没了心情自然好不少[doge],2024-11-17 08:19:13,0,0,,广东,否,https://i1.hdslb.com/bfs/face/09ba2a5c6bb3d6b2f968f1ddbe767eb58c45d7c4.jpg
21,0,247024546001,一级评论,2741284,兵兵兵,6,保密,如果懂王的所有想法全部实现，美国将走上一条不一样的路了……但是，懂王的想法落实真的很难，召回制造业，把那群蛀虫清算，把外面花钱的烂摊子都给收拾了，真的巨大工作量了。,2024-11-17 07:45:18,1,0,,上海,是,http://i1.hdslb.com/bfs/face/fe825904ac398ce6aa172f0efc33e9c7971b3c45.jpg
22,247024546001,247877386224,二级评论,592235813,某不知名炸弹,5,保密,需要的时间太长了，而特朗普只有四年任期,2024-11-23 11:26:10,0,0,新人一枚，请多多指教awa,吉林,否,https://i2.hdslb.com/bfs/face/64483c38ad82eeb992d858ded07ecda76a5d12ed.jpg
23,0,247341209744,一级评论,40689243,进击的麻薯点心,6,保密,怎么说呢，民主党自己作死惹的，以前经济还行的时候民主党骚操作大家还能忍一忍，现在就是真的作死,2024-11-17 05:04:11,0,0,,上海,是,https://i0.hdslb.com/bfs/face/87cc840f76d9794d9cce3f40b3a82cea66b9fb84.jpg
24,0,247320862160,一级评论,3546722649245904,账号已注销,0,保密,https://b23.tv/BV1cRDVY3EKG,2024-11-17 00:14:21,0,0,,江西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,246988753137,一级评论,26523988,包子好看不在馅多,6,男,先笑不算笑，后笑压倒炕,2024-11-16 20:17:23,0,0,加勒比海带大战汤姆.葫芦丝,河南,是,https://i1.hdslb.com/bfs/face/902848385fbbe3c38c2d8e8129e8466c69e04894.jpg
26,0,247305898768,一级评论,2026957829,应用1111,4,保密,果然没叫人失望，一根筋与两头堵又出现了,2024-11-16 16:21:38,0,0,,黑龙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
