video_id,comment_type,parent_id,comment_id,author,text,published_at,like_count,minute,sentiment_label,sentiment_score
EaGNjgTt3co,comment,,Ugyc-1P7xXtyM-AQELx4AaABAg,@eosk1s872,일본은 트럼프승리를 예상하고 일본 권력실세를 트럼프에 보내서 과시하기 좋아하는 트럼프의 비위를 맞처줌... 예전 고려가 국제정세를 정확하게 판단하여 왕위 다툼을 하던 쿠빌라이에 배팅해서 고려가 고구려땅도 관리하는 대박을 터트렸죠...,2024-11-09 23:17:31+00:00,1,2024-11-09 23:17:00+00:00,생각이 많은,-0.16008698646910488
EaGNjgTt3co,comment,,Ugw78mEO0dK1oxXK28Z4AaABAg,@jhk2802,팩트) 힐러리때도 못맞췄다,2024-11-09 17:56:25+00:00,1,2024-11-09 17:56:00+00:00,짜증남,-0.922067229176173
EaGNjgTt3co,comment,,Ugzac1yPXW0srP7I5vV4AaABAg,@you-w7c4b,SBS를 조사 해라.왜 처음부터 거짓 보도를 했는지.태영도 조사해라.,2024-11-09 17:21:09+00:00,1,2024-11-09 17:21:00+00:00,짜증남,-0.9754303285328205
EaGNjgTt3co,comment,,Ugysh4h826vn9qYI__94AaABAg,@Ribborninthesky,내가 미국인이여도 트럼프뽑지..트럼프가 잘해서 더 미국이 더 안팍으로 잘되는모습 보여주길.,2024-11-09 13:23:08+00:00,4,2024-11-09 13:23:00+00:00,설레는(기대하는),0.3991712605580688
EaGNjgTt3co,comment,,UgzZP62aZ9MpM22D42h4AaABAg,@newcreator,"제가 미국에서 사는 사람으로 이번 대선을 보고 느낀 점이 있어요. 해리스를 지지하는 측 언론에서는 해리스가 유리하다는 얘기를 많이 하면서 분위기를 띄우려했던 느낌이구요, 트럼프를 지지하는 언론 측에서는 그런 식의 플레이보다는 뭔가 트럼프가 불리한 것처럼 보이는(?) 제스춰를 많이 취해서 트럼프를 지지하는 세력이 더 결집하게 하려했다는 느낌을 많이 받았어요. 결과적으로는 그런 경향으로 해리스를 지지하는 측이 방심하거나 현상을 왜곡되게 받아들이는 상황이 되었고 트럼프의 지지 세력이 막판까지 저돌적으로 달릴 수 있는 원동력이 된 것 같아요. 거기에 하나를 더한다면, 민주당 정권이 사회 돌아가는 분위기 파악을 정말 못한 것이구요, 자기들이 우세하다는 착각에 사로잡혀 있었던 것 같아요. 미국 주류 언론도 똑같은 잘못을 했구요, 여론 조사도 자기들에게 유리한 방향으로 하였으니 제대로 된 결과가 나왔을 리가 없지요. 거기에 한국의 대다수 언론도 미국 주류 언론의 그런 기사를 가져다 베끼다보니 벙찐 상황인 된 것이지요. 하지만 미국에서는 이미 이 결과가 나올 것이라는 분위기가 팽배했었어요. 오히려 해리스가 유리하다는 언론 보도들을 보게 되면 뭔 딴 나라 얘기하나 했었거든요...",2024-11-09 13:20:23+00:00,1,2024-11-09 13:20:00+00:00,슬픔(우울한),-0.742920422332827
EaGNjgTt3co,comment,,Ugy4yjUQl0EQ0YhFILJ4AaABAg,@이재훈-c6h5n,니들도 당일 아침까지 해리스 빨더니 누굴 탓 하니?,2024-11-09 09:42:07+00:00,2,2024-11-09 09:42:00+00:00,짜증남,-0.9770987159223297
EaGNjgTt3co,comment,,UgzEZw3AM33M-3jQutZ4AaABAg,@금은화-s2n,언론 언론 그러는데 뮐 알기나 하고 댓글들 지껄이냐ㅋㅋ그냥 쓰레기통🎉,2024-11-09 09:25:45+00:00,1,2024-11-09 09:25:00+00:00,짜증남,-0.9555136404291261
EaGNjgTt3co,comment,,UgxsFu3-49gNZ1Ip-Ih4AaABAg,@usertrtyjgdyu12kk,트럼프가 될줄알았음 ㅋㅋ,2024-11-09 08:36:24+00:00,1,2024-11-09 08:36:00+00:00,즐거운(신나는),-0.010742010455578564
EaGNjgTt3co,comment,,UgwCEs7jkFtB7VztRSd4AaABAg,@sunny1247,부끄러움이 없는 스브스 역시 ㅋㅋ,2024-11-09 08:10:18+00:00,1,2024-11-09 08:10:00+00:00,짜증남,-0.8376061238232069
EaGNjgTt3co,comment,,UgwnQpMQbH88GjahbrR4AaABAg,@이철주-y3n,앵무새 방송사! ㅋㅋ,2024-11-09 08:00:11+00:00,0,2024-11-09 08:00:00+00:00,짜증남,-0.8806392282946035
EaGNjgTt3co,comment,,UgyG3Dw42EMflkX7ARN4AaABAg,@juwonlee268,한국언론 좌성향 됐다는거 이번에 확실하게 알게 되었다. 여론조사도 믿을수 없고. 중립지키는게 그렇게 힘드니?,2024-11-09 07:57:34+00:00,1,2024-11-09 07:57:00+00:00,짜증남,-0.8960402114200405
EaGNjgTt3co,comment,,UgyN1hmE04pxm1z3VyF4AaABAg,@joon8958,니들이이야기해잖아 개표 아침까지,2024-11-09 07:41:10+00:00,1,2024-11-09 07:41:00+00:00,짜증남,-0.9749352098908275
EaGNjgTt3co,comment,,UgyB6J0kTfo1B4CONXd4AaABAg,@user-mj9hh7fk4k,좌빨들 피눈물행ㅋㅋㅋㅋㅋ,2024-11-09 06:52:16+00:00,1,2024-11-09 06:52:00+00:00,짜증남,-0.6302747176494449
EaGNjgTt3co,comment,,UgzlAUvfG0Q3ao3A-nJ4AaABAg,@jjPark-ty9wj,한국언론은 쓰레기고 거기에 휘둘린 국민들 모두 개돼지다.,2024-11-09 06:46:41+00:00,0,2024-11-09 06:46:00+00:00,짜증남,-0.9609481928171589
EaGNjgTt3co,comment,,UgzH6LSQxL594ylko7N4AaABAg,@chuckychung505,한미 언론조작의 정도를 보여주는 사례,2024-11-09 06:46:30+00:00,2,2024-11-09 06:46:00+00:00,짜증남,-0.8738708378281445
EaGNjgTt3co,comment,,UgyCLAvWZc_S86MyEdh4AaABAg,@gumsanyun8820,한국 못 믿겠다.<br>금방 거짓과 한말을 뒤짚기 최고 능숙.<br>거짓에 속아 살아왔다는것.<br>언론만 그런가?<br>이익...,2024-11-09 04:16:35+00:00,1,2024-11-09 04:16:00+00:00,짜증남,-0.8270086455973796
